,Position,Player,Club,Age,Caps
1,Goalkeeper,Wayne Hennessey,Nottingham Forest (ENG),35,106
2,Goalkeeper,Danny Ward,Leicester City (ENG),29,26
3,Goalkeeper,Adam Davies,Sheffield United (ENG),30,3
4,Defender,Ethan Ampadu,Spezia (ITA),22,37
5,Defender,Chris Mepham,Bournemouth (ENG),24,33
6,Defender,Ben Davies,Tottenham (SCO),29,74
7,Defender,Chris Gunter,Wimbledon (ENG),33,109
8,Defender,Connor Roberts,Burnley (ENG),27,41
9,Defender,Joe Rodon,Rennes (FRA),24,30
10,Defender,Neco Williams,Nottingham Forest (ENG),21,23
11,Defender,Ben Cabango,Swansea City (WAL),22,5
12,Defender,Tom Lockyer,Luton Town (ENG),27,14
13,Midfielder,Joe Allen,Swansea City (WAL),32,72
14,Midfielder,Aaron Ramsey,Nice (FRA),31,75
15,Midfielder,Harry Wilson,Fulham (ENG),25,39
16,Midfielder,Jonny Williams,Swindon Town (ENG),29,33
17,Midfielder,Joe Morrell,Portsmouth (ENG),25,30
18,Midfielder,Matthew Smith,MK Dons (ENG),22,19
19,Midfielder,Dylan Levitt,Dundee United (So),21,13
20,Midfielder,Ruben Colwill,Swansea City (ENG),20,7
21,Midfielder,Sorba Thomas,Huddersfield Town (ENG),23,6
22,Forward,Gareth Bale,Los Angeles FC (USA),33,108
23,Forward,Daniel James,Fulham (ENG),24,38
24,Forward,Kieffer Moore,Bournemouth (ENG),30,28
25,Forward,Brennan Johnson,Nottingham Forest (ENG),21,15
26,Forward,Mark Harris,Cardiff City (WAL),23,5
